C871  48        PHA                             A:FF X:16 Y:00 P:AD SP:FB
C872  A9 00     LDA #$00                        A:FF X:16 Y:00 P:AD SP:FA
C874  68        PLA                             A:00 X:16 Y:00 P:2F SP:FA
C875  F0 09     BEQ $C880                       A:FF X:16 Y:00 P:AD SP:FB
C877  10 07     BPL $C880                       A:FF X:16 Y:00 P:AD SP:FB
C879  70 05     BVS $C880                       A:FF X:16 Y:00 P:AD SP:FB
C87B  90 03     BCC $C880                       A:FF X:16 Y:00 P:AD SP:FB
C87D  4C 84 C8  JMP $C884                       A:FF X:16 Y:00 P:AD SP:FB
C884  60        RTS                             A:FF X:16 Y:00 P:AD SP:FB
C603  20 85 C8  JSR $C885                       A:FF X:16 Y:00 P:AD SP:FD
C885  EA        NOP                             A:FF X:16 Y:00 P:AD SP:FB
C886  18        CLC                             A:FF X:16 Y:00 P:AD SP:FB
C887  A9 FF     LDA #$FF                        A:FF X:16 Y:00 P:AC SP:FB
C889  85 01     STA $01                         A:FF X:16 Y:00 P:AC SP:FB
C88B  24 01     BIT $01                         A:FF X:16 Y:00 P:AC SP:FB
C88D  A9 55     LDA #$55                        A:FF X:16 Y:00 P:AC SP:FB
C88F  09 AA     ORA #$AA                        A:55 X:16 Y:00 P:2C SP:FB
C891  B0 0B     BCS $C89E                       A:FF X:16 Y:00 P:AC SP:FB
C893  10 09     BPL $C89E                       A:FF X:16 Y:00 P:AC SP:FB
C895  C9 FF     CMP #$FF                        A:FF X:16 Y:00 P:AC SP:FB
C897  D0 05     BNE $C89E                       A:FF X:16 Y:00 P:2F SP:FB
C899  50 03     BVC $C89E                       A:FF X:16 Y:00 P:2F SP:FB
C89E  A2 18     LDX #$18                        A:FF X:16 Y:00 P:2F SP:FB
C8A0  86 00     STX $00                         A:FF X:18 Y:00 P:2D SP:FB
C8A2  EA        NOP                             A:FF X:18 Y:00 P:2D SP:FB
C8A3  38        SEC                             A:FF X:18 Y:00 P:2D SP:FB
C8A4  B8        CLV                             A:FF X:18 Y:00 P:2D SP:FB
C8A5  A9 00     LDA #$00                        A:FF X:18 Y:00 P:2D SP:FB
C8A7  09 00     ORA #$00                        A:00 X:18 Y:00 P:2F SP:FB
C8A9  D0 09     BNE $C8B4                       A:00 X:18 Y:00 P:2F SP:FB
C8AB  70 07     BVS $C8B4                       A:00 X:18 Y:00 P:2F SP:FB
C8AD  90 05     BCC $C8B4                       A:00 X:18 Y:00 P:2F SP:FB
C8AF  30 03     BMI $C8B4                       A:00 X:18 Y:00 P:2F SP:FB
C8B1  4C B8 C8  JMP $C8B8                       A:00 X:18 Y:00 P:2F SP:FB
C8B8  EA        NOP                             A:00 X:18 Y:00 P:2F SP:FB
C8B9  18        CLC                             A:00 X:18 Y:00 P:2F SP:FB
C8BA  24 01     BIT $01                         A:00 X:18 Y:00 P:2E SP:FB
C8BC  A9 55     LDA #$55                        A:00 X:18 Y:00 P:AE SP:FB
C8BE  29 AA     AND #$AA                        A:55 X:18 Y:00 P:2C SP:FB
C8C0  D0 09     BNE $C8CB                       A:00 X:18 Y:00 P:2E SP:FB
C8C2  50 07     BVC $C8CB                       A:00 X:18 Y:00 P:2E SP:FB
C8CB  A2 1A     LDX #$1A                        A:00 X:18 Y:00 P:2E SP:FB
C8CD  86 00     STX $00                         A:00 X:1A Y:00 P:2C SP:FB
C8CF  EA        NOP                             A:00 X:1A Y:00 P:2C SP:FB
C8D0  38        SEC                             A:00 X:1A Y:00 P:2C SP:FB
C8D1  B8        CLV                             A:00 X:1A Y:00 P:2D SP:FB
C8D2  A9 F8     LDA #$F8                        A:00 X:1A Y:00 P:2D SP:FB
C8D4  29 EF     AND #$EF                        A:F8 X:1A Y:00 P:AD SP:FB
C8D6  90 0B     BCC $C8E3                       A:E8 X:1A Y:00 P:AD SP:FB
C8D8  10 09     BPL $C8E3                       A:E8 X:1A Y:00 P:AD SP:FB
C8DA  C9 E8     CMP #$E8                        A:E8 X:1A Y:00 P:AD SP:FB
C8DC  D0 05     BNE $C8E3                       A:E8 X:1A Y:00 P:2F SP:FB
C8DE  70 03     BVS $C8E3                       A:E8 X:1A Y:00 P:2F SP:FB
C8E0  4C E7 C8  JMP $C8E7                       A:E8 X:1A Y:00 P:2F SP:FB
C8E7  EA        NOP                             A:E8 X:1A Y:00 P:2F SP:FB
C8E8  18        CLC                             A:E8 X:1A Y:00 P:2F SP:FB
C8E9  24 01     BIT $01                         A:E8 X:1A Y:00 P:2E SP:FB
C8EB  A9 5F     LDA #$5F                        A:E8 X:1A Y:00 P:AC SP:FB
C8ED  49 AA     EOR #$AA                        A:5F X:1A Y:00 P:2C SP:FB
C8EF  B0 0B     BCS $C8FC                       A:F5 X:1A Y:00 P:AC SP:FB
C8F1  10 09     BPL $C8FC                       A:F5 X:1A Y:00 P:AC SP:FB
C8F3  C9 F5     CMP #$F5                        A:F5 X:1A Y:00 P:AC SP:FB
C8F5  D0 05     BNE $C8FC                       A:F5 X:1A Y:00 P:2F SP:FB
C8F7  50 03     BVC $C8FC                       A:F5 X:1A Y:00 P:2F SP:FB
C8FC  A2 1C     LDX #$1C                        A:F5 X:1A Y:00 P:2F SP:FB
C8FE  86 00     STX $00                         A:F5 X:1C Y:00 P:2D SP:FB
C900  EA        NOP                             A:F5 X:1C Y:00 P:2D SP:FB
C901  38        SEC                             A:F5 X:1C Y:00 P:2D SP:FB
C902  B8        CLV                             A:F5 X:1C Y:00 P:2D SP:FB
C903  A9 70     LDA #$70                        A:F5 X:1C Y:00 P:2D SP:FB
C905  49 70     EOR #$70                        A:70 X:1C Y:00 P:2D SP:FB
C907  D0 09     BNE $C912                       A:00 X:1C Y:00 P:2F SP:FB
C909  70 07     BVS $C912                       A:00 X:1C Y:00 P:2F SP:FB
C90B  90 05     BCC $C912                       A:00 X:1C Y:00 P:2F SP:FB
C90D  30 03     BMI $C912                       A:00 X:1C Y:00 P:2F SP:FB
C90F  4C 16 C9  JMP $C916                       A:00 X:1C Y:00 P:2F SP:FB
C916  EA        NOP                             A:00 X:1C Y:00 P:2F SP:FB
C917  18        CLC                             A:00 X:1C Y:00 P:2F SP:FB
C918  24 01     BIT $01                         A:00 X:1C Y:00 P:2E SP:FB
C91A  A9 00     LDA #$00                        A:00 X:1C Y:00 P:AE SP:FB
C91C  69 69     ADC #$69                        A:00 X:1C Y:00 P:2E SP:FB
C91E  30 0B     BMI $C92B                       A:69 X:1C Y:00 P:2E SP:FB
C920  B0 09     BCS $C92B                       A:69 X:1C Y:00 P:2E SP:FB
C922  C9 69     CMP #$69                        A:69 X:1C Y:00 P:2E SP:FB
C924  D0 05     BNE $C92B                       A:69 X:1C Y:00 P:2F SP:FB
C926  70 03     BVS $C92B                       A:69 X:1C Y:00 P:2F SP:FB
C928  4C 2F C9  JMP $C92F                       A:69 X:1C Y:00 P:2F SP:FB
C92F  EA        NOP                             A:69 X:1C Y:00 P:2F SP:FB
C930  38        SEC                             A:69 X:1C Y:00 P:2F SP:FB
C931  F8        SED                             A:69 X:1C Y:00 P:2F SP:FB
C932  24 01     BIT $01                         A:69 X:1C Y:00 P:2F SP:FB
C934  A9 01     LDA #$01                        A:69 X:1C Y:00 P:AD SP:FB
C936  69 69     ADC #$69                        A:01 X:1C Y:00 P:2D SP:FB
